,Unnamed: 0,mmsi,acqtime,cog,latitude,longitude,status,true_head,avg_lon,avg_lat
0,0,411041792,1672528283,0,29125250,121874900,1,0,,
1,1,411041792,1672528313,0,29125299,121874901,1,0,,
2,2,411041792,1672590080,18210,27578100,120566200,46,0,,
3,3,411041792,1672614871,11860,29169881,121862516,1,11800,,
4,4,411041792,1672678470,14170,29169931,121862415,0,14100,,
5,5,411041792,1672678473,14170,29169900,121862396,0,14100,,
6,6,411041792,1672687450,2280,29420200,121963203,1,2200,,
7,7,411041792,1672687811,5230,29420200,121963203,0,5200,,
8,8,411041792,1672689071,0,29420200,121963203,3,0,,
9,9,411041792,1672739787,0,29125799,121869003,1,0,,
10,10,411041792,1672741587,0,29125799,121869003,1,0,,
11,11,411041792,1672741767,0,29125799,121869003,0,0,,
12,12,411041792,1672747331,22280,29170000,121862503,0,22200,,
13,13,411041792,1672787954,8080,29125699,121868896,1,8000,,
14,14,411041792,1672814598,14490,29170099,121862503,1,14400,,
15,15,411041792,1672854506,15960,29125799,121869003,2,15900,,
16,16,411041792,1672856128,0,29125900,121869003,1,0,,
17,17,411041792,1672900517,0,29040899,121601601,0,0,,
18,18,411041792,1672901420,0,29040800,121601601,2,0,,
19,19,411041792,1672920111,24920,29041300,121623703,2,24900,,
20,20,411041792,1672924583,12920,28829000,121683898,11,12900,,
21,21,411041792,1672924586,12920,28829000,121683898,11,12900,,
22,22,411041792,1672940470,12530,29041201,121623703,0,12500,,
23,23,411041792,1672945332,2580,29041599,121623802,48,2500,,
24,24,411041792,1673006299,14420,29598199,121979500,160,14400,,
25,25,411041792,1673008543,31250,29599001,121978401,3,31200,,
26,26,411041792,1673143789,0,31376801,121503304,0,0,,
27,27,411041792,1673213520,0,29126400,121867996,0,0,,
28,28,411041792,1673214595,0,29126301,121868103,0,0,,
29,29,411041792,1673214953,34660,29126416,121867900,7,34600,,
30,30,411041792,1673219205,0,29598301,121979301,1,0,,
31,31,411041792,1673219206,0,29598301,121979301,1,0,,
32,32,411041792,1673231466,0,31376801,121503304,0,0,,
33,33,411041792,1673247104,0,28829100,121683502,0,0,,
34,34,411041792,1673254487,0,28829100,121683601,0,0,,
35,35,411041792,1673266923,0,28829100,121683701,0,0,,
36,36,411041792,1673284576,0,29167000,121915298,0,0,,
37,37,411041792,1673290700,0,29167000,121915099,0,0,,
38,38,411041792,1673291058,0,29167016,121915116,2,0,,
39,39,411041792,1673296492,0,29871300,122371803,1,0,,
40,40,411041792,1673297032,0,29871300,122371803,0,0,,
41,41,411041792,1673297033,0,29871300,122371803,0,0,,
42,42,411041792,1673297095,0,29871500,122371803,1,0,,
43,43,411041792,1673297576,0,29871300,122371803,1,0,,
44,44,411041792,1673297712,0,29871599,122371803,2,0,,
45,45,411041792,1673297754,0,29871300,122371902,1,0,,
46,46,411041792,1673297936,0,29871300,122371803,1,0,,
47,47,411041792,1673298013,0,29871901,122371803,2,0,,
48,48,411041792,1673298655,16060,29871400,122371803,0,0,,
49,49,411041792,1673298656,16060,29871400,122371803,0,0,,
50,50,411041792,1673298666,8870,29871400,122371902,1,0,,
51,51,411041792,1673299195,0,29871300,122371902,1,0,,
52,52,411041792,1673299196,0,29871300,122371902,1,0,,
53,53,411041792,1673299261,0,29871500,122371803,1,0,,
54,54,411041792,1673300039,0,29871400,122371803,1,0,,
55,55,411041792,1673300094,0,29871300,122371803,1,0,,
56,56,411041792,1673300095,0,29871400,122371803,1,0,,
57,57,411041792,1673301177,0,29871400,122371803,0,0,,
58,58,411041792,1673324964,0,29041191,121623881,0,0,,
59,59,411041792,1673324966,0,29041201,121623901,0,0,,
60,60,411041792,1673325144,17440,29041175,121623886,0,17400,,
61,61,411041792,1673325146,17440,29041201,121623901,0,17400,,
62,62,411041792,1673325503,11810,29041186,121623861,0,11700,,
63,63,411041792,1673325504,11790,29041186,121623861,0,11700,,
64,64,411041792,1673325506,11790,29041201,121623901,0,11700,,
65,65,411041792,1673325683,8250,29041211,121623916,11,8200,,
66,66,411041792,1673325684,8220,29041211,121623916,11,8200,,
67,67,411041792,1673325855,0,29041531,121624660,1,0,,
68,68,411041792,1673326404,0,29041561,121624661,0,0,,
69,69,411041792,1673326584,12900,29041530,121624636,1,12900,,
70,70,411041792,1673326585,12900,29041500,121624602,1,12900,,
71,71,411041792,1673326764,14770,29041566,121624665,0,14700,,
72,72,411041792,1673326944,14770,29041566,121624665,0,14700,,
73,73,411041792,1673326946,14770,29041599,121624702,0,14700,,
74,74,411041792,1673327099,0,29041556,121624705,1,0,,
75,75,411041792,1673327126,0,29041599,121624702,1,0,,
76,76,411041792,1673335435,0,29871400,122371803,1,0,,
77,77,411041792,1673335866,0,29871300,122371803,0,0,,
78,78,411041792,1673336155,20040,29871400,122371803,1,0,,
79,79,411041792,1673336180,0,29871300,122371803,0,0,,
80,80,411041792,1673336338,15930,29871400,122371803,1,0,,
81,81,411041792,1673336516,0,29871500,122371803,2,0,,
82,82,411041792,1673336532,0,29871400,122371803,2,0,,
83,83,411041792,1673336876,18680,29871400,122371803,2,0,,
84,84,411041792,1673337236,0,29871500,122371803,1,0,,
85,85,411041792,1673337257,18680,29871400,122371803,2,0,,
86,86,411041792,1673337415,14960,29871400,122372002,25,0,,
87,87,411041792,1673337419,14960,29871400,122372002,25,0,,
88,88,411041792,1673337438,0,29871599,122371803,1,0,,
89,89,411041792,1673338021,15660,29871700,122371803,4,15600,,
90,90,411041792,1673338317,33690,29871400,122371803,1,0,,
91,91,411041792,1673338360,15660,29870398,122372299,4,15600,,
92,92,411041792,1673338649,15660,29869900,122372497,4,15600,,
93,93,411041792,1673338856,15410,29871400,122371803,1,0,,
94,94,411041792,1673339282,15410,29871201,122371902,1,15400,,
95,95,411041792,1673339571,15410,29871099,122372002,1,15400,,
96,96,411041792,1673345969,2810,29041405,121603046,0,2800,,
97,97,411041792,1673346149,30290,29041396,121603051,0,30200,,
98,98,411041792,1673346151,30290,29041401,121603104,0,30200,,
99,99,411041792,1673347049,0,29041395,121603060,0,0,,
100,100,411041792,1673347410,0,29041376,121603011,0,0,,
101,101,411041792,1673347411,0,29041401,121602997,0,0,,
102,102,411041792,1673424021,10960,29041855,121621791,0,10900,,
103,103,411041792,1673424022,10950,29041850,121621781,0,10900,,
104,104,411041792,1673424382,0,29041890,121621781,1,0,,
105,105,411041792,1673424562,0,29041976,121621465,0,0,,
106,106,411041792,1673424564,0,29042000,121621498,0,0,,
107,107,411041792,1673424922,0,29041931,121621721,0,0,,
108,108,411041792,1673425102,0,29041886,121621681,1,0,,
109,109,411041792,1673425104,0,29041900,121621696,1,0,,
110,110,411041792,1673435105,0,29041445,121602991,0,0,,
111,111,411041792,1673435106,0,29041445,121602991,0,0,,
112,112,411041792,1673435108,0,29041401,121602997,0,0,,
113,113,411041792,1673446553,0,29041781,121621666,1,0,,
114,114,411041792,1673446555,0,29041800,121621696,1,0,,
115,115,411041792,1673456924,27740,29167000,121915099,8,27700,,
116,116,411041792,1673458186,0,29167000,121915099,0,0,,
117,117,411041792,1673459266,0,29167101,121915099,0,0,,
118,118,411041792,1673464157,0,29041401,121603104,1,0,,
119,119,411041792,1673466671,0,29041395,121603066,1,0,,
120,120,411041792,1673466678,0,29041395,121603066,1,0,,
121,121,411041792,1673466680,0,29041401,121603104,1,0,,
122,122,411041792,1673466851,19370,29041406,121603031,0,19300,,
123,123,411041792,1673466858,19370,29041406,121603031,0,19300,,
124,124,411041792,1673466860,19370,29041401,121602997,0,19300,,
125,125,411041792,1673467039,0,29041391,121603061,0,0,,
126,126,411041792,1673467040,0,29041401,121603104,0,0,,
127,127,411041792,1673491424,0,29041875,121621610,1,0,,
128,128,411041792,1673491559,10460,29041890,121621625,0,10400,,
129,129,411041792,1673491605,10430,29041890,121621625,0,10400,,
130,130,411041792,1673511581,16230,29839600,122297798,4,16200,,
131,131,411041792,1673523727,0,29528166,121555230,0,0,,
132,132,411041792,1673536309,0,29839500,122297798,3,0,,
133,133,411041792,1673536491,0,29839500,122297798,0,0,,
134,134,411041792,1673536611,0,29839600,122297798,0,0,,
135,135,411041792,1673536912,12550,29837500,122301102,140,12500,,
136,136,411041792,1673537030,23200,29839600,122297699,3,23200,,
137,137,411041792,1673537211,0,29839500,122297699,3,0,,
138,138,411041792,1673537212,0,29839500,122297699,3,0,,
139,139,411041792,1673537804,0,29834101,122306702,3,0,,
140,140,411041792,1673538055,0,29834101,122306702,3,0,,
141,141,411041792,1673579633,0,29129731,121870850,1,0,,
142,142,411041792,1673579634,0,29129700,121870902,1,0,,
143,143,411041792,1673579635,0,29129700,121870902,1,0,,
144,144,411041792,1673583138,15070,29041300,121602997,0,15000,,
145,145,411041792,1673583140,15070,29041300,121602997,0,15000,,
146,146,411041792,1673594671,15790,28293663,121637222,3,15700,,
147,147,411041792,1673597014,3020,28293699,121637299,0,3000,,
148,148,411041792,1673604015,0,29167081,121915100,1,0,,
149,149,411041792,1673611078,0,29532301,121555298,1,0,,
150,150,411041792,1673611796,25250,29532200,121555298,0,25200,,
151,151,411041792,1673611976,25250,29532200,121555298,0,25200,,
